target_img,prob_img,cue_text,is_match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
stimuli/banana.png,stimuli/zebra.png,->...->...->?,match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/face.png,stimuli/banana.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
stimuli/zebra.png,stimuli/scissor.png,->...->...->?,match
stimuli/scissor.png,stimuli/face.png,->...->...->?,match
stimuli/banana.png,stimuli/zebra.png,->...->...->?,match
stimuli/banana.png,stimuli/zebra.png,->...->...->?,match
