thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,cue_text,prob_img,corrAns,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,first_of_pair.stopped,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,prob_test_img.stopped,probe_test.stopped,probe_resp.started,probe_resp_test.started,probe_resp_test.stopped,probe_resp.stopped,probe_loop.probe_resp_test.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0024478000000272004,0.00824800000009418,0.00824800000009418,0.48397590000013224,space,0.46902399999999034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
0,0,0,C_D,stimuli/banana.png,stimuli/face.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,0,0,0,,,,,1.077590900000132,,,,,,,,,0.4841592000000219,0.4874099999999544,0.4874099999999544,1.0726574000000255,space,0.5823625999998967,None,1.0759608000000753,1.077590900000132,1.639513099999931,1.3635931999999684,1.636792400000104,1.639513099999931,2.8785589000001437,2.8786090999999487,2.88369160000002,4.68911049999997,4.683725000000095,4.687061099999937,4.68911049999997,5.682666100000006,5.677573700000039,5.677601999999979,5.682666100000006,10.676313700000037,10.671688800000084,,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
1,1,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,1,1,1,,,,,10.676313700000037,,,,,,,,,,,,,,,,10.671810800000003,10.676313700000037,10.979295000000093,10.962716700000101,10.978123900000128,10.979295000000093,12.469324400000005,12.46935180000014,12.475404100000105,13.89410799999996,13.622879900000044,13.892386100000067,13.89410799999996,,14.629359900000054,14.629376800000045,14.635192700000061,,19.623440399999936,12.475404100000105,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
2,2,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,2,2,2,,,,,19.628820500000074,,,,,,,,,,,,,,,,19.62353320000011,19.628820500000074,19.926962900000035,19.91525189999993,19.923010599999998,19.926962900000035,21.415008400000033,21.41503590000002,21.420859500000006,24.091707499999984,24.075198799999953,24.090636599999925,24.091707499999984,,25.076063500000146,25.076086400000122,25.08098599999994,30.074653200000057,30.068874600000072,21.420859500000006,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
3,3,0,C_D,stimuli/banana.png,stimuli/face.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,3,3,3,,,,,30.074653200000057,,,,,,,,,,,,,,,,30.068960800000013,30.074653200000057,30.634928500000115,30.360622299999932,30.633214599999974,30.634928500000115,31.881952100000035,31.88198340000008,31.88753810000003,32.90800379999996,32.89584160000004,32.90052250000008,32.90800379999996,,33.89652939999996,33.89655199999993,33.90165900000011,38.89490799999999,38.88910529999998,,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
4,4,0,C_D,stimuli/banana.png,stimuli/face.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,4,4,4,,,,,38.89490799999999,,,,,,,,,,,,,,,,38.889188600000125,38.89490799999999,39.252631100000144,39.180961300000035,39.25120170000014,39.252631100000144,40.702036200000066,40.70206729999995,40.707763900000145,42.58956920000014,42.58471490000011,42.588535099999945,42.58956920000014,43.58314580000001,43.57732720000013,43.577345599999944,43.58314580000001,48.5771400000001,48.571506,,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
5,5,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,5,5,5,,,,,48.5771400000001,,,,,,,,,,,,,,,,48.57161380000002,48.5771400000001,48.87520620000009,48.86215600000014,48.87242379999998,48.882267400000046,50.37032380000005,50.37034740000013,50.37610930000005,51.48245480000014,51.46780260000014,51.48140289999992,51.48245480000014,,52.46803460000001,52.46805640000002,52.4732133,57.46723020000013,57.460832900000014,50.37610930000005,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
6,6,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,6,6,6,,,,,57.46723020000013,,,,,,,,,,,,,,,,57.46091640000009,57.46723020000013,57.7724346,57.753247999999985,57.766105299999936,57.7724346,59.25991479999993,59.25994710000009,59.26601879999998,61.224409700000024,60.954530200000136,61.2225813,61.224409700000024,,61.96085900000003,61.96087560000001,61.96691299999998,,66.95540529999994,59.26601879999998,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
7,7,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,7,7,7,,,,,66.96102599999995,,,,,,,,,,,,,,,,66.9555147000001,66.96102599999995,67.25965859999997,67.2468831000001,67.25585120000005,67.25965859999997,68.74797820000003,68.74801070000012,68.75274680000007,71.40502560000004,71.386888,71.40348820000008,71.40502560000004,,72.39358170000014,72.39359850000005,72.39981310000007,,77.38744020000013,68.75274680000007,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
8,8,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.5823625999998967,None,,,,,,,,,0,0,0,0,0,8,8,8,,,,,77.3931106,,,,,,,,,,,,,,,,77.38753710000015,77.3931106,77.69271320000007,77.67930739999997,77.69170350000013,77.69271320000007,79.17913240000007,79.17916420000006,79.18491390000008,80.60199409999996,80.32596340000009,80.6001761,80.60199409999996,,81.33257359999993,81.3325953000001,81.33776710000006,86.33141539999997,86.32613480000009,79.18491390000008,,,,,,,,,,,,,,,,,,,,,,,,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
0,0,0,,,,space,0.5823625999998967,None,stimuli/scissor.png,->...->...->?,stimuli/face.png,2,space,3.8409807000000455,None,None,0,0,0,0,,,,,0,0,0,0,90.18579580000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.3268852000001,86.33141539999997,86.33141539999997,90.17355709999993,space,3.8409807000000455,None,90.18300760000011,90.18579580000005,94.17467060000013,94.1747077,94.17995470000005,95.45057480000014,95.44568430000004,95.44937890000006,95.45057480000014,97.44422609999992,97.43852140000013,97.43854260000012,97.44422609999992,101.70193059999997,101.43223499999999,None,220,001,2025-06-09_10h41.55.657,learn_probe,2024.2.4,144.11817690469795,2025-06-09 10h41.59.607171 -0400,
1,1,0,,,,,,,stimuli/banana.png,->...->...->?,stimuli/banana.png,1,,,,,,,,,,,,,0,1,1,1,101.70193059999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.69979690000014,101.70193059999997,,,,,,,,,,,,,,,,,,,,,,
